ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason,regime
1212.SR,2023-03-20 00:00:00+03:00,2023-05-17 00:00:00+03:00,53.00349681091308,68.45024192047119,350,5406.360788345338,0.2914287931730897,57,take_profit,BEAR
1304.SR,2022-11-21 00:00:00+03:00,2023-05-22 00:00:00+03:00,25.789500461578367,25.73797298812866,843,-43.43766011810233,-0.0019980019980019303,181,time_exit,BEAR
1321.SR,2023-02-27 00:00:00+03:00,2023-05-23 00:00:00+03:00,43.206768341064446,60.87044984436035,432,7630.710409423831,0.40881746498286575,84,take_profit,BEAR
2010.SR,2023-02-07 00:00:00+03:00,2023-06-01 00:00:00+03:00,79.53649591827391,78.6668293762207,807,-701.8208994369404,-0.010934182251966629,113,trailing_stop,BULL
6010.SR,2023-04-17 00:00:00+03:00,2023-06-05 00:00:00+03:00,13.185555691719054,16.574395265579223,4225,14317.847199559214,0.257011509646762,48,take_profit,BULL
1211.SR,2023-02-01 00:00:00+03:00,2023-06-11 00:00:00+03:00,49.315933078765866,43.25669923782348,432,-2617.5890192871093,-0.12286564326512417,127,take_profit,BEAR
1304.SR,2023-05-23 00:00:00+03:00,2023-06-11 00:00:00+03:00,25.592259044647214,27.509612279891968,1282,2458.0468475837743,0.07491926491912326,16,trailing_stop,BULL
2270.SR,2023-05-22 00:00:00+03:00,2023-06-14 00:00:00+03:00,253.43217985534665,319.54149728393554,132,8726.429900573734,0.26085605019189995,22,take_profit,BULL
3020.SR,2023-03-19 00:00:00+03:00,2023-06-15 00:00:00+03:00,27.774838384628293,34.96582696151734,676,4861.108277976994,0.25890298540382606,87,take_profit,BEAR
3060.SR,2023-02-19 00:00:00+03:00,2023-06-22 00:00:00+03:00,30.56725317764282,37.803250064849856,1949,14102.957933166515,0.2367238183017215,122,take_profit,BULL
1321.SR,2023-06-15 00:00:00+03:00,2023-07-26 00:00:00+03:00,60.06112646102905,59.428880619049075,597,-377.4507676620439,-0.01052670636123032,40,trailing_stop,BULL
1060.SR,2023-06-01 00:00:00+03:00,2023-08-01 00:00:00+03:00,31.487285449981687,32.73190665435791,1144,1423.8466578063951,0.03952773910451346,60,trailing_stop,BULL
7020.SR,2023-05-15 00:00:00+03:00,2023-08-02 00:00:00+03:00,40.01050963211059,41.62309963989258,1071,1727.0838983345104,0.040304160647026466,78,trailing_stop,BULL
1150.SR,2023-06-14 00:00:00+03:00,2023-08-02 00:00:00+03:00,24.9473830165863,26.838081418991088,1497,2830.3755083999667,0.07578744436431495,48,trailing_stop,BULL
1050.SR,2023-05-08 00:00:00+03:00,2023-08-03 00:00:00+03:00,15.935624141693113,16.174974758148192,2827,676.6441927185082,0.015019845744783433,86,trailing_stop,BULL
1180.SR,2023-05-04 00:00:00+03:00,2023-08-08 00:00:00+03:00,31.950134922027583,32.14662368774414,1515,297.68048006058154,0.0061498571507154765,95,trailing_stop,BULL
2310.SR,2023-06-11 00:00:00+03:00,2023-08-24 00:00:00+03:00,31.498647432327267,32.143498764038085,1167,752.5415041065246,0.02047234990315805,73,trailing_stop,BULL
3060.SR,2023-08-08 00:00:00+03:00,2023-09-06 00:00:00+03:00,32.48030475997925,30.913877489089966,436,-682.9622901077269,-0.04822698809216108,28,trailing_stop,BEAR
4300.SR,2023-04-26 00:00:00+03:00,2023-09-10 00:00:00+03:00,16.016,17.682300762176514,3226,5375.486258781439,0.104039757878154,134,trailing_stop,BULL
1320.SR,2023-09-06 00:00:00+03:00,2023-09-13 00:00:00+03:00,32.45403339767456,33.45037615585327,460,458.317668762208,0.030700121182783535,6,trailing_stop,BEAR
1321.SR,2023-08-02 00:00:00+03:00,2023-10-23 00:00:00+03:00,57.657449550628655,59.240215255737304,717,1134.8430105629013,0.027451191779109596,81,trailing_stop,BULL
4310.SR,2023-05-14 00:00:00+03:00,2023-11-13 00:00:00+03:00,15.615600381851195,12.26771973323822,2762,-9246.846351469036,-0.21439333530230176,182,time_exit,BULL
7010.SR,2023-05-17 00:00:00+03:00,2023-11-14 00:00:00+03:00,36.56334032058715,31.573583181381224,1069,-5334.0503818111365,-0.13646885365110972,180,time_exit,BULL
2330.SR,2023-05-17 00:00:00+03:00,2023-11-14 00:00:00+03:00,46.28970125198364,37.21275,755,-6853.098195247646,-0.19609008065470424,180,time_exit,BULL
2350.SR,2023-06-05 00:00:00+03:00,2023-12-04 00:00:00+03:00,13.59357992362976,11.26871973323822,2913,-6772.317734610556,-0.1710263376868244,181,time_exit,BULL
1212.SR,2023-11-14 00:00:00+03:00,2023-12-07 00:00:00+03:00,90.27580879211425,115.24505980682373,539,13458.426296928412,0.2765885052573529,22,take_profit,BULL
2010.SR,2023-06-11 00:00:00+03:00,2023-12-11 00:00:00+03:00,79.35992028808593,73.11064643096924,517,-3230.8745841293294,-0.07874596943181245,182,time_exit,BULL
3030.SR,2023-06-22 00:00:00+03:00,2023-12-20 00:00:00+03:00,53.40464294815063,46.56840192031861,248,-1695.387774902342,-0.1280083650118058,180,time_exit,BEAR
6020.SR,2023-10-23 00:00:00+03:00,2023-12-24 00:00:00+03:00,15.2151998090744,17.582400381088256,1135,2686.772649235726,0.15558130039160245,59,trailing_stop,BEAR
1211.SR,2023-12-07 00:00:00+03:00,2024-01-02 00:00:00+03:00,39.038999999999994,48.35160152435303,1245,11594.188897819527,0.23854610836222845,25,take_profit,BULL
1120.SR,2023-09-10 00:00:00+03:00,2024-01-08 00:00:00+03:00,67.35267815399169,84.30744623565674,243,4120.008643844608,0.25173116416990204,119,take_profit,BEAR
2082.SR,2023-11-13 00:00:00+03:00,2024-01-11 00:00:00+03:00,211.9471174621582,241.59905570983886,252,7472.28843841553,0.1399025313612714,58,trailing_stop,BULL
7030.SR,2023-05-15 00:00:00+03:00,2024-01-15 00:00:00+03:00,12.51572568798065,12.543297989845275,3064,84.48153291321101,0.002203012638021029,244,trailing_stop,BULL
5110.SR,2023-12-04 00:00:00+03:00,2024-01-21 00:00:00+03:00,16.877433387756344,16.9171060295105,2788,110.60732521058436,0.002350632400240249,45,trailing_stop,BULL
2083.SR,2023-07-26 00:00:00+03:00,2024-01-23 00:00:00+03:00,78.27779981994628,63.20838056945801,539,-8122.416976013179,-0.19251204409361,180,time_exit,BULL
4001.SR,2023-08-01 00:00:00+03:00,2024-01-29 00:00:00+03:00,13.092917636871336,12.473980894088745,3183,-1970.0756522769861,-0.04727263700487849,180,time_exit,BULL
1304.SR,2023-12-11 00:00:00+03:00,2024-01-30 00:00:00+03:00,23.037964748382567,28.49385654258728,2061,11244.592987855915,0.23682177891116685,49,take_profit,BULL
1320.SR,2023-09-13 00:00:00+03:00,2024-01-31 00:00:00+03:00,33.517343875885004,31.189591032028197,488,-1135.9433878021218,-0.06944920374587238,139,trailing_stop,BEAR
1010.SR,2024-01-08 00:00:00+03:00,2024-02-01 00:00:00+03:00,25.465994218826292,25.326094705581664,1602,-224.11902021789533,-0.005493581442078788,23,trailing_stop,BULL
4006.SR,2023-12-24 00:00:00+03:00,2024-02-26 00:00:00+03:00,22.14212084007263,26.973,1861,8990.266116624836,0.21817599112658104,63,take_profit,BULL
