date,cash,positions,total,n_positions,regime,returns
2023-12-17 00:00:00+03:00,404764.43617473834,547248.616645813,952013.0528205513,15,BULL,0.002903209049036848
2023-12-18 00:00:00+03:00,404764.43617473834,549757.4596748352,954521.8958495735,15,BULL,0.0026353031837003105
2023-12-19 00:00:00+03:00,372571.0909186916,585363.3418798447,957934.4327985363,15,BULL,0.003575126944495466
2023-12-20 00:00:00+03:00,372571.0909186916,583227.4423341751,955798.5332528667,15,BULL,-0.0022296928396546845
2023-12-21 00:00:00+03:00,351259.46595653566,600043.73458004,951303.2005365756,15,BULL,-0.004703222028383025
2023-12-24 00:00:00+03:00,351259.46595653566,604618.0076065063,955877.473563042,15,BULL,0.004808428084638328
2023-12-25 00:00:00+03:00,351259.46595653566,609573.1378355026,960832.6037920383,15,BULL,0.005183855008661364
2023-12-26 00:00:00+03:00,351259.46595653566,612154.406993866,963413.8729504016,15,BULL,0.002686492057176304
2023-12-27 00:00:00+03:00,351259.46595653566,611436.7143993378,962696.1803558734,15,BULL,-0.000744947332271928
2023-12-28 00:00:00+03:00,351259.46595653566,616255.1182317734,967514.584188309,15,BULL,0.005005113690857765
2023-12-31 00:00:00+03:00,351259.46595653566,625171.9672346115,976431.4331911472,15,BULL,0.009216242471754343
2024-01-01 00:00:00+03:00,368304.6021016922,609755.2072525024,978059.8093541947,15,BULL,0.0016676810144524712
2024-01-02 00:00:00+03:00,368304.6021016922,613516.5103931427,981821.1124948349,15,BULL,0.0038456780502245103
2024-01-03 00:00:00+03:00,368304.6021016922,601416.3212137222,969720.9233154145,15,BULL,-0.012324229969626121
2024-01-04 00:00:00+03:00,368304.6021016922,608041.1212949753,976345.7233966675,15,BULL,0.0068316563270629516
2024-01-07 00:00:00+03:00,347933.50556622323,636024.2952852249,983957.8008514482,15,BULL,0.007796497974404515
2024-01-08 00:00:00+03:00,347933.50556622323,634656.1288928986,982589.6344591219,15,BULL,-0.0013904726311864124
2024-01-09 00:00:00+03:00,347933.50556622323,635315.6984071732,983249.2039733964,15,BULL,0.0006712563323931775
2024-01-10 00:00:00+03:00,365810.35909952555,616887.453248024,982697.8123475495,15,BULL,-0.0005607852247616618
2024-01-11 00:00:00+03:00,365810.35909952555,617631.4413175583,983441.8004170838,15,BULL,0.0007570873367033215
2024-01-14 00:00:00+03:00,361760.6578921758,616311.1352558136,978071.7931479893,15,BULL,-0.00546042202682151
2024-01-15 00:00:00+03:00,361760.6578921758,623037.3245153427,984797.9824075184,15,BULL,0.006876989303495229
2024-01-16 00:00:00+03:00,361760.6578921758,624469.7851495743,986230.44304175,15,BULL,0.0014545730797799195
2024-01-17 00:00:00+03:00,361760.6578921758,626151.4513301849,987912.1092223607,15,BULL,0.0017051452756051688
2024-01-18 00:00:00+03:00,365908.7550085082,613895.9150838852,979804.6700923934,15,BULL,-0.008206640099136964
2024-01-21 00:00:00+03:00,365908.7550085082,617082.1325426102,982990.8875511184,15,BULL,0.0032518904593754616
2024-01-22 00:00:00+03:00,357918.52846555307,626387.88550663,984306.413972183,15,BULL,0.0013382895383109439
2024-01-23 00:00:00+03:00,357918.52846555307,634346.1499662399,992264.678431793,15,BULL,0.008085149448020301
2024-01-24 00:00:00+03:00,357918.52846555307,637167.2754096985,995085.8038752516,15,BULL,0.0028431178744738883
2024-01-25 00:00:00+03:00,357918.52846555307,636359.2612171173,994277.7896826704,15,BULL,-0.0008120045421554645
2024-01-28 00:00:00+03:00,355816.0533094184,641995.0349082947,997811.088217713,15,BULL,0.003553633171440307
2024-01-29 00:00:00+03:00,370927.98504387785,627978.6816959381,998906.666739816,15,BULL,0.0010979819076373243
2024-01-30 00:00:00+03:00,345562.11864473217,635023.3207855225,980585.4394302546,15,BULL,-0.018341280441502406
2024-01-31 00:00:00+03:00,345534.1520380357,628957.5359306335,974491.6879686692,15,BULL,-0.006214401332663044
2024-02-01 00:00:00+03:00,345534.1520380357,630458.6463603973,975992.798398433,15,BULL,0.0015404035234953817
2024-02-04 00:00:00+03:00,345534.1520380357,634638.6212024689,980172.7732405046,15,BULL,0.004282792710080141
2024-02-05 00:00:00+03:00,345534.1520380357,642917.4543571472,988451.6063951829,15,BULL,0.008446299857226336
2024-02-06 00:00:00+03:00,345534.1520380357,642466.7807273865,988000.9327654222,15,BULL,-0.00045593899270834903
2024-02-07 00:00:00+03:00,345534.1520380357,648298.0106124878,993832.1626505235,15,BULL,0.005902048967483919
2024-02-08 00:00:00+03:00,345534.1520380357,648298.0106124878,993832.1626505235,15,BULL,0.0
2024-02-11 00:00:00+03:00,345534.1520380357,654237.5257358551,999771.6777738908,15,BULL,0.005976376441195752
2024-02-12 00:00:00+03:00,345534.1520380357,656953.3978557587,1002487.5498937943,15,BULL,0.0027164923554854337
2024-02-13 00:00:00+03:00,345534.1520380357,661480.5319976807,1007014.6840357163,15,BULL,0.004515900613829782
2024-02-14 00:00:00+03:00,345534.1520380357,662636.5436229706,1008170.6956610063,15,BULL,0.0011479590552314622
2024-02-15 00:00:00+03:00,345534.1520380357,667570.8351593018,1013104.9871973374,15,BULL,0.004894301686775293
2024-02-18 00:00:00+03:00,345534.1520380357,673567.2282428741,1019101.3802809098,15,BULL,0.005918826932399979
2024-02-19 00:00:00+03:00,345534.1520380357,680520.9767379761,1026055.1287760118,15,BULL,0.006823411909407051
2024-02-20 00:00:00+03:00,345534.1520380357,682039.5577335358,1027573.7097715714,15,BULL,0.0014800189122110563
2024-02-21 00:00:00+03:00,345534.1520380357,684431.3774909973,1029965.529529033,15,BULL,0.0023276381389645273
2024-02-25 00:00:00+03:00,357614.0245697659,679747.8987808228,1037361.9233505887,15,BULL,0.00718120520493315
2024-02-26 00:00:00+03:00,357614.0245697659,680204.2279834747,1037818.2525532406,15,BULL,0.00043989391974030845
2024-02-27 00:00:00+03:00,357614.0245697659,683868.1276493073,1041482.1522190731,15,BULL,0.003530386613280978
2024-02-28 00:00:00+03:00,357614.0245697659,684046.7055664062,1041660.7301361721,15,BULL,0.00017146517270449912
2024-02-29 00:00:00+03:00,357614.0245697659,684185.9402294159,1041799.9647991818,15,BULL,0.0001336660382613708
2024-03-03 00:00:00+03:00,357614.0245697659,681798.0613117218,1039412.0858814877,15,BULL,-0.0022920704534237224
2024-03-04 00:00:00+03:00,386956.9425811138,644557.4106998444,1031514.3532809581,15,BEAR,-0.0075982689712826845
2024-03-05 00:00:00+03:00,386956.9425811138,644557.4106998444,1031514.3532809581,15,BEAR,0.0
2024-03-06 00:00:00+03:00,386956.9425811138,646900.2328701019,1033857.1754512157,15,BEAR,0.0022712453421571688
2024-03-07 00:00:00+03:00,386956.9425811138,654103.3363399506,1041060.2789210643,15,BEAR,0.006967213306523723
2024-03-10 00:00:00+03:00,439403.03741329425,605629.6513595581,1045032.6887728523,15,BEAR,0.0038157347199001546
2024-03-11 00:00:00+03:00,462710.2170509591,581543.0320072174,1044253.2490581765,15,BEAR,-0.0007458519939611552
2024-03-12 00:00:00+03:00,461598.2919586437,582646.2131309509,1044244.5050895946,15,BEAR,-8.373417645368697e-06
2024-03-13 00:00:00+03:00,461598.2919586437,584378.994020462,1045977.2859791057,15,BEAR,0.001659363186558016
2024-03-14 00:00:00+03:00,495698.2513585958,551745.1848945618,1047443.4362531576,15,BEAR,0.0014017037403248889
2024-03-17 00:00:00+03:00,495698.2513585958,551918.7318077087,1047616.9831663045,15,BEAR,0.00016568619091050785
2024-03-18 00:00:00+03:00,529381.9983433394,523764.60416793823,1053146.6025112777,15,BEAR,0.005278283412569751
2024-03-19 00:00:00+03:00,529381.9983433394,522050.6394557953,1051432.6377991347,15,BEAR,-0.0016274702003081787
2024-03-20 00:00:00+03:00,529381.9983433394,519629.190908432,1049011.1892517714,15,BEAR,-0.002302999222500768
2024-03-21 00:00:00+03:00,529381.9983433394,524278.3960571289,1053660.3944004683,15,BEAR,0.004431988139242948
2024-03-24 00:00:00+03:00,529381.9983433394,522229.0292301178,1051611.0275734572,15,BEAR,-0.00194499749435606
2024-03-25 00:00:00+03:00,529381.9983433394,518778.6432685852,1048160.6416119246,15,BEAR,-0.0032810477173239594
2024-03-26 00:00:00+03:00,550722.3126489209,495407.61679267883,1046129.9294415998,15,BEAR,-0.001937405479375709
2024-03-27 00:00:00+03:00,550722.3126489209,496490.51792907715,1047212.8305779981,15,BEAR,0.0010351497514045072
2024-03-28 00:00:00+03:00,546762.0907220467,502444.6316127777,1049206.7223348245,15,BEAR,0.0019039985937967518
2024-03-31 00:00:00+03:00,571704.0430381297,470568.2370491028,1042272.2800872325,15,BEAR,-0.006609223997498415
2024-04-01 00:00:00+03:00,616776.6399210538,420831.615480423,1037608.2554014768,15,BEAR,-0.004474862063265639
2024-04-02 00:00:00+03:00,641140.0241014758,394665.1024169922,1035805.126518468,15,BEAR,-0.0017377742260840101
