ticker,name,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
1304.SR,Yamamah Steel,2024-08-06 00:00:00+03:00,2024-09-08 00:00:00+03:00,30.621950234461455,33.46428507917803,1094,3072.904392243316,0.09282017712633661,30,stop_loss
1080.SR,Arab National Bank,2024-08-07 00:00:00+03:00,2024-09-09 00:00:00+03:00,18.14918403870799,17.902831181296914,1575,-416.2027095329864,-0.013573770417758868,32,stop_loss
1010.SR,Riyad Bank,2024-08-06 00:00:00+03:00,2024-09-10 00:00:00+03:00,22.816696851294346,23.9626108728397,1713,1921.902766482019,0.05022260798807743,34,stop_loss
8210.SR,Bupa Arabia,2024-08-06 00:00:00+03:00,2024-09-10 00:00:00+03:00,215.2740176583615,220.31266775246104,147,708.2956016730224,0.02340575118589494,34,stop_loss
1321.SR,East Pipes,2024-08-14 00:00:00+03:00,2024-09-10 00:00:00+03:00,135.621969956269,133.8259114147148,179,-345.4493170814362,-0.01324312382524262,26,stop_loss
1060.SR,Saudi Awwal Bank,2024-09-08 00:00:00+03:00,2024-09-12 00:00:00+03:00,32.88151368382433,31.49942019495461,952,-1345.740449429571,-0.042032538470077374,3,stop_loss
2050.SR,Savola,2024-08-06 00:00:00+03:00,2024-10-01 00:00:00+03:00,26.75493102264404,28.87738948059082,1130,2365.7466073667947,0.0793296180113654,55,stop_loss
8210.SR,Bupa Arabia,2024-09-12 00:00:00+03:00,2024-10-01 00:00:00+03:00,212.92558895907104,204.49232664682236,176,-1520.244816445607,-0.039606617285767975,18,stop_loss
3020.SR,Yamama Cement,2024-08-06 00:00:00+03:00,2024-10-06 00:00:00+03:00,29.419740318692398,29.50679255624573,1398,80.44853210592848,0.002958973689445532,58,stop_loss
2280.SR,Almarai,2024-09-01 00:00:00+03:00,2024-10-06 00:00:00+03:00,53.64620980741169,54.42153965779283,608,438.3122529197955,0.014452649183689825,32,stop_loss
7010.SR,STC,2024-08-05 00:00:00+03:00,2024-10-07 00:00:00+03:00,33.39821881215569,37.83574442322861,1318,5798.791244244295,0.13286713390409388,62,time_exit
4190.SR,Jarir Marketing,2024-08-06 00:00:00+03:00,2024-10-07 00:00:00+03:00,11.354118625386809,11.723725459116585,3270,1170.2777640450563,0.03255266621077646,61,time_exit
2222.SR,Saudi Aramco,2024-08-06 00:00:00+03:00,2024-10-07 00:00:00+03:00,24.868004158395316,25.156269184564955,1418,373.08821740483614,0.011591803842944115,61,time_exit
1211.SR,Maaden,2024-09-17 00:00:00+03:00,2024-10-10 00:00:00+03:00,40.03999999999999,47.10285152435303,889,6237.000570144699,0.1763948932156103,22,stop_loss
1050.SR,Banque Saudi Fransi,2024-09-18 00:00:00+03:00,2024-10-10 00:00:00+03:00,14.849152824062699,14.093261200240534,2279,-1754.7955529660635,-0.050904696906160285,21,stop_loss
8210.SR,Bupa Arabia,2024-10-06 00:00:00+03:00,2024-11-03 00:00:00+03:00,201.57476260496836,196.67982658580064,185,-941.9489314644006,-0.024283476541954063,25,stop_loss
7020.SR,Mobily,2024-09-05 00:00:00+03:00,2024-11-04 00:00:00+03:00,46.40768122164732,49.04656591464798,668,1730.0118688934529,0.05686310161451713,59,stop_loss
3020.SR,Yamama Cement,2024-10-07 00:00:00+03:00,2024-11-05 00:00:00+03:00,29.371031417836964,29.409569719934463,1418,12.944542511387738,0.001312119467282269,28,stop_loss
4009.SR,ME Healthcare,2024-10-10 00:00:00+03:00,2024-11-13 00:00:00+03:00,66.78554610795639,68.13766756937497,647,830.7375146204334,0.020245719923184025,33,stop_loss
1150.SR,Alinma Bank,2024-10-06 00:00:00+03:00,2024-11-17 00:00:00+03:00,26.442332155430304,26.19326103401184,1486,-409.04287232437844,-0.009419408241088667,39,stop_loss
2050.SR,Savola,2024-11-10 00:00:00+03:00,2024-11-19 00:00:00+03:00,28.238613845825192,26.096603713989257,1440,-3122.0736991918907,-0.07585394040694426,8,stop_loss
1140.SR,Bank Albilad,2024-10-15 00:00:00+03:00,2024-11-21 00:00:00+03:00,30.38145495393737,29.62513342106311,1285,-1009.9414661894904,-0.024894184100825667,36,stop_loss
1180.SR,Al Rajhi Bank,2024-11-03 00:00:00+03:00,2024-11-28 00:00:00+03:00,31.502084294573013,30.258994595954952,1235,-1572.5856361193091,-0.03946055400633319,24,stop_loss
2010.SR,SABIC,2024-11-14 00:00:00+03:00,2024-11-28 00:00:00+03:00,67.14844140949764,64.83109625991901,498,-1186.3237704275964,-0.03451078090475024,13,stop_loss
1080.SR,Arab National Bank,2024-10-15 00:00:00+03:00,2024-12-16 00:00:00+03:00,17.618339133745256,19.200411536000978,2332,3644.61748235839,0.0897969093593789,61,time_exit
4009.SR,ME Healthcare,2024-11-20 00:00:00+03:00,2024-12-17 00:00:00+03:00,67.67866078347254,70.91071055114472,477,1507.863330246734,0.04775581742098334,26,stop_loss
1322.SR,Almasane Mining,2024-11-12 00:00:00+03:00,2024-12-18 00:00:00+03:00,65.87042345428466,65.0660402526176,586,-509.4972557649339,-0.01221159906806002,35,stop_loss
4300.SR,Dar Al Arkan,2024-12-05 00:00:00+03:00,2024-12-19 00:00:00+03:00,15.275260229110716,14.445540038108826,2154,-1818.332984660157,-0.05431790873327691,13,stop_loss
2280.SR,Almarai,2024-11-13 00:00:00+03:00,2024-12-22 00:00:00+03:00,53.744466532365855,55.99044562683973,689,1508.902179055607,0.04178995977420863,36,stop_loss
2050.SR,Savola,2024-11-26 00:00:00+03:00,2024-12-22 00:00:00+03:00,25.934514181137082,38.01194923782349,1194,14375.071190293605,0.46568965866615963,23,take_profit
8210.SR,Bupa Arabia,2024-11-12 00:00:00+03:00,2025-01-13 00:00:00+03:00,189.8325464961666,203.12514683119733,193,2526.2687113225093,0.07002276785713946,61,time_exit
1060.SR,Saudi Awwal Bank,2024-11-14 00:00:00+03:00,2025-01-14 00:00:00+03:00,30.997185393239214,31.311364870260746,1136,321.33817540384496,0.010135742101605727,60,time_exit
7010.SR,STC,2024-11-17 00:00:00+03:00,2025-01-19 00:00:00+03:00,36.63312744522094,38.1514774350992,920,1361.782631447708,0.041447457418117395,60,time_exit
1150.SR,Alinma Bank,2024-11-17 00:00:00+03:00,2025-01-19 00:00:00+03:00,26.24569999504089,28.583157314180472,1221,2819.135351588814,0.08906058209844825,60,time_exit
4190.SR,Jarir Marketing,2024-11-26 00:00:00+03:00,2025-01-27 00:00:00+03:00,11.918906024677712,12.044716759051612,2735,311.15005817661006,0.010555560561800847,61,time_exit
2280.SR,Almarai,2024-12-31 00:00:00+03:00,2025-01-27 00:00:00+03:00,56.692059831742434,53.83320016609338,681,-1983.543841620117,-0.05042786722045256,26,stop_loss
1322.SR,Almasane Mining,2025-01-08 00:00:00+03:00,2025-01-30 00:00:00+03:00,61.2479317653991,59.780029509834115,569,-869.2512202075729,-0.023966560392399305,21,stop_loss
8210.SR,Bupa Arabia,2025-01-30 00:00:00+03:00,2025-02-18 00:00:00+03:00,189.8325393230479,174.414196545796,239,-3726.668916737655,-0.08122075821265673,18,stop_loss
7020.SR,Mobily,2024-12-22 00:00:00+03:00,2025-02-24 00:00:00+03:00,50.488554105593145,60.3502620013636,848,8311.551273436191,0.1953256152898617,60,time_exit
2010.SR,SABIC,2024-12-22 00:00:00+03:00,2025-02-24 00:00:00+03:00,63.72444822563379,63.96704230150033,638,113.964047414492,0.003806923129527462,60,time_exit
2222.SR,Saudi Aramco,2025-02-05 00:00:00+03:00,2025-02-25 00:00:00+03:00,26.312621326446532,25.833442322664087,1644,-830.240461396799,-0.01821099455799291,19,stop_loss
1211.SR,Maaden,2025-01-08 00:00:00+03:00,2025-02-26 00:00:00+03:00,48.49845076370239,46.953,757,-1205.4496491227046,-0.03186598209563929,48,stop_loss
1304.SR,Yamamah Steel,2025-02-11 00:00:00+03:00,2025-02-26 00:00:00+03:00,35.84888527679443,34.44853013992309,1146,-1644.2850023948997,-0.03906272471400407,14,stop_loss
2380.SR,Petro Rabigh,2025-02-13 00:00:00+03:00,2025-02-26 00:00:00+03:00,7.8378299236297595,7.552439942836761,4983,-1459.7320825266659,-0.03641186190230983,12,stop_loss
2010.SR,SABIC,2025-02-27 00:00:00+03:00,2025-03-02 00:00:00+03:00,62.43663396232358,60.46200057991635,691,-1406.2509096441208,-0.031626198548736606,0,stop_loss
2050.SR,Savola,2025-02-24 00:00:00+03:00,2025-03-06 00:00:00+03:00,37.13709847259521,34.415550762176515,1120,-3086.678852522579,-0.07328380036009075,9,stop_loss
2222.SR,Saudi Aramco,2025-02-25 00:00:00+03:00,2025-03-06 00:00:00+03:00,25.88516092591266,25.217231236273268,1608,-1114.5802487680721,-0.02580357493434604,8,stop_loss
8210.SR,Bupa Arabia,2025-02-25 00:00:00+03:00,2025-03-09 00:00:00+03:00,169.87077534957706,162.10949404907225,232,-1838.2266643364997,-0.04568932639845125,9,stop_loss
1211.SR,Maaden,2025-03-02 00:00:00+03:00,2025-03-11 00:00:00+03:00,45.69565152740478,42.757199237823485,943,-2811.280547956426,-0.0643048559624767,8,stop_loss
4009.SR,ME Healthcare,2025-03-04 00:00:00+03:00,2025-03-12 00:00:00+03:00,72.64044116557346,69.12804456790012,483,-1729.876402202521,-0.04835318372678021,7,stop_loss
2280.SR,Almarai,2025-03-02 00:00:00+03:00,2025-03-13 00:00:00+03:00,55.7095300775906,52.95068366837935,663,-1864.2214725791955,-0.04952198313948819,10,stop_loss
