ticker,name,sector,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days,exit_reason
1120.SR,Al Jazira Bank,Banking,2023-07-14 00:00:00+03:00,2023-08-03 00:00:00+03:00,67.25104345139897,68.16751522156073,514,471.06648986314633,436.0283870392641,0.013627621567300796,19,stop_loss
2380.SR,Petro Rabigh,Energy,2023-07-20 00:00:00+03:00,2023-08-03 00:00:00+03:00,10.7106998090744,10.189799809455872,3016,-1571.0343988494817,-1601.7668350748006,-0.04863361021258461,13,stop_loss
1322.SR,Almasane Mining,Materials,2023-08-01 00:00:00+03:00,2023-08-03 00:00:00+03:00,55.774181978246375,53.57359434504468,458,-1007.8691360063751,-1032.4058422164055,-0.03945530987904022,1,stop_loss
7010.SR,STC,Telecom,2023-08-01 00:00:00+03:00,2023-08-03 00:00:00+03:00,35.72686048232338,34.529520628685056,679,-812.9937606204231,-836.4393051273003,-0.03351371594016039,1,stop_loss
2050.SR,Savola,Food,2023-07-14 00:00:00+03:00,2023-08-04 00:00:00+03:00,24.870781757354735,25.69860276031494,846,700.3365685043347,678.5955505691082,0.03328488066988111,20,stop_loss
3020.SR,Yamama Cement,Materials,2023-07-21 00:00:00+03:00,2023-08-04 00:00:00+03:00,34.13625392529867,33.07577857374289,1058,-1121.9829219460155,-1156.9770956770355,-0.031065955680914747,13,stop_loss
1050.SR,Banque Saudi Fransi,Banking,2023-08-02 00:00:00+03:00,2023-08-04 00:00:00+03:00,17.67313972000034,16.474909483056575,1378,-1651.1612665085079,-1673.8636917761598,-0.06779951134476414,1,stop_loss
1304.SR,Yamamah Steel,Industrial,2023-07-19 00:00:00+03:00,2023-08-07 00:00:00+03:00,26.77571478592609,25.295064807948258,821,-1215.6136319198013,-1236.3808801271268,-0.05529824282248841,18,stop_loss
1320.SR,Saudi Steel Pipe,Materials,2023-07-25 00:00:00+03:00,2023-08-07 00:00:00+03:00,24.687256595607042,27.821484303689378,1283,4021.214149469636,3985.5191851080026,0.12695731078681516,12,take_profit
8050.SR,Salama,Insurance,2023-07-28 00:00:00+03:00,2023-08-07 00:00:00+03:00,15.290778661727904,15.103175468444825,1035,-194.16930504798728,-209.80109165782767,-0.012269041193607833,9,stop_loss
4009.SR,Middle East Healthcare,Healthcare,2023-07-31 00:00:00+03:00,2023-08-07 00:00:00+03:00,65.4954788332128,56.0551130167147,171,-1614.3025546211752,-1623.8879789470334,-0.1441376715565118,6,stop_loss
