ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,net_pnl,pnl_pct,holding_days,exit_reason
1140.SR,Banking,2024-05-28 00:00:00+03:00,2024-06-13 00:00:00+03:00,26.62389034336295,27.136031557290675,1026,497.6153171120639,0.019236152467680068,15,time_exit
1211.SR,Materials,2024-05-30 00:00:00+03:00,2024-06-24 00:00:00+03:00,46.796749999999996,44.855101524353024,441,-876.0480775325541,-0.04149109661775596,24,time_exit
7010.SR,Telecom,2024-05-30 00:00:00+03:00,2024-06-24 00:00:00+03:00,32.52006310653686,33.480462548049985,790,732.2659933824095,0.02953252084311231,24,time_exit
4300.SR,Real Estate,2024-06-06 00:00:00+03:00,2024-06-24 00:00:00+03:00,12.011999999999999,12.007980457305909,2177,-34.89191790058912,-0.0003346272639103143,17,time_exit
2010.SR,Materials,2024-06-07 00:00:00+03:00,2024-06-24 00:00:00+03:00,69.54545460768048,69.77764485583735,388,63.01609008080008,0.0033386833038435704,16,time_exit
2082.SR,Utilities,2024-06-12 00:00:00+03:00,2024-06-27 00:00:00+03:00,360.35999999999996,349.8498121948242,41,-445.2615423121934,-0.029165800325163027,14,stop_loss
2222.SR,Energy,2024-06-12 00:00:00+03:00,2024-06-28 00:00:00+03:00,25.969172904968257,25.367802909851076,1122,-703.1998093863307,-0.023157071552407094,15,time_exit
4310.SR,Real Estate,2024-06-14 00:00:00+03:00,2024-07-01 00:00:00+03:00,13.7136998090744,14.125860342979431,2144,853.3863401170374,0.03005465626659709,16,time_exit
1320.SR,Industrial,2024-06-25 00:00:00+03:00,2024-07-02 00:00:00+03:00,61.62314628073288,68.68591158709732,517,3615.939047099886,0.11461221525738119,6,take_profit
4280.SR,Holding,2024-07-12 00:00:00+03:00,2024-07-24 00:00:00+03:00,6.4974359128816195,7.513283274469576,5835,5883.629346959198,0.15634588400848526,11,take_profit
1321.SR,Industrial,2024-07-23 00:00:00+03:00,2024-08-02 00:00:00+03:00,148.2080054151993,133.00750642582187,200,-3066.701299160649,-0.10256192940991127,9,stop_loss
1321.SR,Industrial,2024-08-02 00:00:00+03:00,2024-08-08 00:00:00+03:00,133.27378771996766,134.39781432429723,285,282.04420515150326,0.008433966075094723,5,stop_loss
4250.SR,Real Estate,2024-08-06 00:00:00+03:00,2024-08-16 00:00:00+03:00,23.22320076370239,25.824150381088256,723,1861.8157126444537,0.11199789571862628,9,take_profit
1304.SR,Industrial,2024-08-06 00:00:00+03:00,2024-08-19 00:00:00+03:00,30.621950234461455,33.66113591621465,775,2329.281523023658,0.09924859972938438,12,take_profit
7010.SR,Telecom,2024-08-05 00:00:00+03:00,2024-08-21 00:00:00+03:00,33.39821881215569,35.313361103807914,1093,2054.6530210894184,0.05734264759518215,15,time_exit
3020.SR,Materials,2024-08-06 00:00:00+03:00,2024-08-21 00:00:00+03:00,29.419740318692398,29.263737901213744,1064,-197.12318932417864,-0.005302644271796497,14,stop_loss
2050.SR,Food,2024-08-06 00:00:00+03:00,2024-08-22 00:00:00+03:00,26.75493102264404,27.014873977661132,1156,269.2648616815818,0.009715702679146787,15,time_exit
2222.SR,Energy,2024-08-06 00:00:00+03:00,2024-08-22 00:00:00+03:00,24.86800606063195,25.85505418722355,1359,1306.2613853975513,0.03969148649011234,15,time_exit
1010.SR,Banking,2024-08-06 00:00:00+03:00,2024-08-22 00:00:00+03:00,22.816698738622172,24.43338944696986,1041,1657.5398689756462,0.0708555925144021,15,time_exit
1150.SR,Banking,2024-08-06 00:00:00+03:00,2024-08-22 00:00:00+03:00,29.476646316558345,31.11880560649081,994,1601.3742414200185,0.055710519856866814,15,time_exit
1180.SR,Banking,2024-08-06 00:00:00+03:00,2024-08-22 00:00:00+03:00,32.27087994070619,34.790759242443826,726,1804.1742818515115,0.07808523679452217,15,time_exit
8210.SR,Insurance,2024-08-06 00:00:00+03:00,2024-08-22 00:00:00+03:00,215.2740176583615,228.51578895961484,123,1600.6304280121296,0.061511237841382016,15,time_exit
1080.SR,Banking,2024-08-07 00:00:00+03:00,2024-08-23 00:00:00+03:00,18.149182138998327,19.04996601745142,1402,1236.1909452347709,0.04963220224218934,15,time_exit
2280.SR,Food,2024-08-09 00:00:00+03:00,2024-08-26 00:00:00+03:00,56.397299849776665,55.50016298599792,460,-438.2130323117831,-0.015907443550815636,16,time_exit
7030.SR,Telecom,2024-08-13 00:00:00+03:00,2024-08-29 00:00:00+03:00,10.067749635900896,10.79688410080798,2476,1778.6038500763386,0.07242278476086073,15,time_exit
1321.SR,Industrial,2024-08-14 00:00:00+03:00,2024-08-30 00:00:00+03:00,135.621969956269,140.30750416656542,155,704.5101394501281,0.034548489539027116,15,time_exit
1060.SR,Banking,2024-09-06 00:00:00+03:00,2024-09-12 00:00:00+03:00,32.88151368382433,31.49942019495461,1041,-1471.5502183363274,-0.042032538470077374,5,stop_loss
2280.SR,Food,2024-08-30 00:00:00+03:00,2024-09-16 00:00:00+03:00,53.64620980741169,54.22542277483503,721,378.5160196915757,0.010796903816741255,16,time_exit
1080.SR,Banking,2024-09-05 00:00:00+03:00,2024-09-16 00:00:00+03:00,18.089418599405903,17.357471897601805,2055,-1539.8200769569935,-0.04046269910676603,10,stop_loss
7020.SR,Telecom,2024-09-05 00:00:00+03:00,2024-09-23 00:00:00+03:00,46.407684949242274,49.90871063090285,769,2653.908950721821,0.07544064491667224,17,time_exit
1211.SR,Materials,2024-09-17 00:00:00+03:00,2024-09-25 00:00:00+03:00,40.03999999999999,43.956,895,3465.4793800000098,0.09780219780219812,7,take_profit
8210.SR,Insurance,2024-09-12 00:00:00+03:00,2024-09-30 00:00:00+03:00,212.92558895907104,214.84389763237644,157,267.4439697806654,0.009009291380540185,17,time_exit
8010.SR,Insurance,2024-09-20 00:00:00+03:00,2024-10-04 00:00:00+03:00,142.32280992842848,142.03845235286008,232,-98.923878477734,-0.001997976120000744,13,stop_loss
1050.SR,Banking,2024-09-20 00:00:00+03:00,2024-10-07 00:00:00+03:00,15.144770928316145,14.501760739092195,2272,-1493.8671503160333,-0.042457571148977635,16,time_exit
1150.SR,Banking,2024-10-04 00:00:00+03:00,2024-10-21 00:00:00+03:00,26.442332155430304,26.815138326277054,1417,490.2692930815112,0.014098838508470601,16,time_exit
3020.SR,Materials,2024-10-11 00:00:00+03:00,2024-10-28 00:00:00+03:00,28.396867900517698,30.673450451990917,1313,2948.878649640872,0.0801701990321162,16,time_exit
8210.SR,Insurance,2024-10-15 00:00:00+03:00,2024-10-30 00:00:00+03:00,193.94232011279604,198.24232846952543,125,512.7207535324835,0.022171583562723862,14,stop_loss
1080.SR,Banking,2024-10-15 00:00:00+03:00,2024-10-31 00:00:00+03:00,17.618339133745256,17.808804914474486,2032,350.83897485558373,0.010810654698116373,15,time_exit
1140.SR,Banking,2024-10-17 00:00:00+03:00,2024-11-04 00:00:00+03:00,29.52044067297296,29.91156392669678,1131,408.5304211605454,0.013249234930354792,17,time_exit
4250.SR,Real Estate,2024-11-04 00:00:00+03:00,2024-11-20 00:00:00+03:00,21.521499999999996,21.078900381088257,1811,-839.7217984393104,-0.02056546332326925,15,time_exit
1180.SR,Banking,2024-11-05 00:00:00+03:00,2024-11-21 00:00:00+03:00,31.076378382097367,31.43914184513187,1204,398.9144827120043,0.011673286332601895,15,time_exit
8010.SR,Insurance,2024-11-07 00:00:00+03:00,2024-11-25 00:00:00+03:00,133.21732801818845,127.41975211874633,242,-1433.8489476777304,-0.0435196831049679,17,time_exit
2082.SR,Utilities,2024-11-15 00:00:00+03:00,2024-11-26 00:00:00+03:00,391.59121221923823,378.621,45,-600.6974948657212,-0.033121816359802936,10,stop_loss
1322.SR,Industrial,2024-11-12 00:00:00+03:00,2024-11-28 00:00:00+03:00,65.87042345428466,65.83492212546672,525,-53.20153174529039,-0.0005389570456091342,15,time_exit
8210.SR,Insurance,2024-11-12 00:00:00+03:00,2024-11-28 00:00:00+03:00,189.8325464961666,176.56262436695303,133,-1788.3824722262095,-0.06990330359120767,15,time_exit
2010.SR,Materials,2024-11-14 00:00:00+03:00,2024-11-28 00:00:00+03:00,67.14844140949764,64.83109625991901,442,-1052.921900660638,-0.03451078090475024,13,stop_loss
1060.SR,Banking,2024-11-15 00:00:00+03:00,2024-11-28 00:00:00+03:00,29.913695762634273,29.430801864097468,830,-425.22950133274884,-0.016142903316546886,12,stop_loss
2280.SR,Food,2024-11-13 00:00:00+03:00,2024-11-29 00:00:00+03:00,53.744466532365855,53.146801620731324,599,-389.8362162399024,-0.011120492028227846,15,time_exit
4100.SR,Real Estate,2024-11-13 00:00:00+03:00,2024-11-29 00:00:00+03:00,90.56649278181665,87.4646432736252,341,-1087.5561256495903,-0.03424941623459021,15,time_exit
2050.SR,Food,2024-11-15 00:00:00+03:00,2024-12-02 00:00:00+03:00,26.47035260009765,26.52441720199585,1077,29.66077891780906,0.0020424586976599546,16,time_exit
7010.SR,Telecom,2024-11-15 00:00:00+03:00,2024-12-02 00:00:00+03:00,36.63312362670898,36.24162826398605,728,-311.3925294384735,-0.01068692276182237,16,time_exit
1150.SR,Banking,2024-11-15 00:00:00+03:00,2024-12-02 00:00:00+03:00,26.24569808578491,26.527846558515336,937,239.51652672308091,0.010750275028243328,16,time_exit
1303.SR,Industrial,2024-11-29 00:00:00+03:00,2024-12-04 00:00:00+03:00,7.03632810625129,7.60102784627905,3368,1876.308462627228,0.0802548902638669,4,take_profit
2082.SR,Utilities,2024-11-26 00:00:00+03:00,2024-12-12 00:00:00+03:00,379.37899999999996,386.0135939025879,54,337.4233366690089,0.017488036772167037,15,stop_loss
